p(Torr) I(mA) Twall Flow(sccm) fracCO2 fracO2 lossFreq(s-1) E/N(Td) Te(eV) n_e(m-3) GasTemp(K) NearWallTemp(K) [O2(X)](m^-3) [O2(a1Dg)](m^-3) [O2(b1Sg+)](m^-3) [O2(+,X)](m^-3) [O(3P)](m^-3) [O(1D)](m^-3) [O(+,gnd)](m^-3) [O(-,gnd)](m^-3) [O3(X)](m^-3) [O3(exc)](m^-3) [CO2(X)](m^-3) [CO2(+,X)](m^-3) [CO(X)](m^-3) [CO(a3P)](m^-3) [CO(+,X)](m^-3) [C(X)](m^-3) 
1 40 323.15 7.791 0 1 28.0312026526 58.2427267531876 2.54372319863831 6184089945774975 393.444192040173 332.243199758804 1.41255320315288e+22 2.11702111327135e+21 1.42731544663792e+20 8473191389666800 8.15696069726823e+21 2.75180152177497e+17 219799715565986 2508107456077440 5.36961504122988e+17 9104453764256280 0 0 0 0 0 0 
1.5 40 323.15 7.791 0 1 30.9644613061 53.9733843144995 2.45357957040216 6614183545409816 413.891596357324 335.174979357197 2.18934856650843e+22 3.22479919150622e+21 1.78045066046253e+20 9687844294737760 9.699026691637249e+21 2.26481712519647e+17 86623340251570.59 3154694466372820 8.44634784426505e+17 1.5742555674504e+16 0 0 0 0 0 0 
2 40 323.15 7.791 0 1 34.4998890694 51.584212497927 2.40329051285814 6899892339884612 431.62392615677 337.843817904925 2.97287907966037e+22 4.25353695364533e+21 2.09447603171209e+20 1.06200989140775e+16 1.05510761650177e+22 1.93505782487772e+17 43031446644642.2 3762480178760670 1.10614933674169e+18 2.18885791536882e+16 0 0 0 0 0 0 
3 40 323.15 7.791 0 1 40.2087715098 48.5790105700212 2.34327945538596 7298260705964285 461.087026248798 342.580364153413 4.47624817524637e+22 6.13878451041284e+21 2.63377735063955e+20 1.20265032678863e+16 1.16612461241001e+22 1.55322045822708e+17 16163407508383.6 4743876523411600 1.50998555357783e+18 3.20029541093545e+16 0 0 0 0 0 0 
5 40 323.15 7.791 0 1 51.9475666415 45.4289916528433 2.28419391789939 7781961226516836 507.015492518078 350.690744737831 7.30957120689876e+22 9.33239271271616e+21 3.59263056864446e+20 1.4101968904585e+16 1.2437670846291e+22 1.16084372982116e+17 4720160857893.45 6324465897269740 1.96241601149414e+18 4.55541651383624e+16 0 0 0 0 0 0 
1 20 323.15 7.791 0 1 17.4859719405 61.2829008898425 2.55417963897301 3013679967518631 365.982065918635 328.297509819942 1.7600947812364e+22 1.83818466191318e+21 8.06862277585459e+19 4567962454616990 6.8635931897014e+21 1.05663530874671e+17 68815974839885.3 1625432678508680 7.979914339606159e+17 1.85646736720917e+16 0 0 0 0 0 0 
1.5 20 323.15 7.791 0 1 19.907888386 56.629591791381 2.46597835962673 3227867305575932 379.575432611605 330.029019773185 2.7345249206898e+22 2.81544752987909e+21 1.0265660601225e+20 5302610381641110 7.89730173571978e+21 8.49561265489516e+16 25364409375756.3 2099391950029640 1.29609050058294e+18 3.34071118309128e+16 0 0 0 0 0 0 
2 20 323.15 7.791 0 1 21.9307077315 53.7649542349954 2.41387249297315 3379718065574123 391.363076881502 331.595772689096 3.69347665657807e+22 3.73637579436705e+21 1.22054357861219e+20 5871096782240620 8.55514887621203e+21 7.25760258463744e+16 12314360318445 2502956996664170 1.74739325677368e+18 4.75671833996958e+16 0 0 0 0 0 0 
3 20 323.15 7.791 0 1 25.0907798513 50.2191126507375 2.35129438136087 3590693580730931 411.403760915855 334.405966019031 5.54334590053231e+22 5.43179760210419e+21 1.56106906523864e+20 6740334821301540 9.390610366782431e+21 5.81406391825261e+16 4465598242731.9 3156570128218920 2.50489269447735e+18 7.19768823068297e+16 0 0 0 0 0 0 
5 20 323.15 7.791 0 1 25.3360523623 45.954507309133 2.2801376051796 3873993626283886 442.278366993727 339.118490883537 8.93979380968797e+22 8.47609482646869e+21 2.07059358630822e+20 7781149924660030 1.10802985004772e+22 4.56919913405781e+16 1330937307543.21 3910571970849260 3.80039632721933e+18 1.12625934301305e+17 0 0 0 0 0 0 
1 40 323.15 7.791 0 1 30.5012561424 59.0406397560546 2.55125891028676 6142845021696336 394.414879684461 332.346773039308 1.44935376039236e+22 2.10916235386769e+21 1.45335624836035e+20 8585829153050900 7.7338213195512e+21 2.63890643311501e+17 207306143417457 2649676619239200 5.34034407966566e+17 9245378982716590 0 0 0 0 0 0 
1.5 40 323.15 7.791 0 1 33.7775154222 54.6339670034998 2.46078423456279 6573862214633092 414.919550767114 335.291795313841 2.23526014602422e+22 3.20311568893139e+21 1.81544536527755e+20 9816379553666030 9.1708297921815e+21 2.17382577776565e+17 81976305235086.91 3323786287521300 8.31642457529712e+17 1.5766968083375e+16 0 0 0 0 0 0 
2 40 323.15 7.791 0 1 36.2139407534 51.8955723003118 2.40700727969059 6878797921341864 432.196252626348 337.912930739729 3.00097768548099e+22 4.2343918198488e+21 2.11826845174716e+20 1.07029608543908e+16 1.02276218349621e+22 1.89404541554129e+17 41859620718912.4 3865358311756670 1.09368289291113e+18 2.17963151639933e+16 0 0 0 0 0 0 
