Species               Population
--------------------------------------------------------------------------------------------------
O2[64.162785%]
 O2(X)                9.03734749312709e-01
 | O2(X,v=0)          | 1.00000000000000e+00
 | O2(X,v=1)          | 0.00000000000000e+00
 | O2(X,v=2)          | 0.00000000000000e+00
 | O2(X,v=3)          | 0.00000000000000e+00
 | O2(X,v=4)          | 0.00000000000000e+00
 O2(a1Dg)             9.46988228260904e-02
 O2(b1Sg+)            1.53344488171309e-03
 O2(A3Su+_C3Du_c1Su-) 3.29829794873463e-05
 O2(9.97eV)           0.00000000000000e+00
 O2(14.7eV)           0.00000000000000e+00
 O2(+,X)              0.00000000000000e+00
O[13.372442%]
 O(3P)                9.99979756822681e-01
 O(1D)                2.02431773186077e-05
 O(1S)                0.00000000000000e+00
 O(4S0)               0.00000000000000e+00
 O(2D0)               0.00000000000000e+00
 O(2P0)               0.00000000000000e+00
 O(3P0)               0.00000000000000e+00
 O(-,gnd)             0.00000000000000e+00
 O(+,gnd)             0.00000000000000e+00
CO2[15.547824%]
 CO2(X)               1.00000000000000e+00
 | CO2(X,v=00001)     | 9.19698215000000e-01
 | CO2(X,v=01101)     | 7.41884390000000e-02
 | CO2(X,v=02201)     | 2.87871000000000e-03
 | CO2(X,v=10002)     | 2.87871000000000e-03
 | CO2(X,v=03301)     | 1.07463000000000e-04
 | CO2(X,v=11102)     | 2.14927000000000e-04
 | CO2(X,v=00011)     | 1.18866000000000e-05
 | CO2(X,v=04401)     | 3.71299000000000e-06
 | CO2(X,v=12202)     | 7.42598000000000e-06
 | CO2(X,v=20003)     | 5.56949000000000e-06
 | CO2(X,v=01111)     | 3.71299000000000e-06
 | CO2(X,v=05501)     | 1.49756000000000e-07
 | CO2(X,v=13302)     | 2.99512000000000e-07
 | CO2(X,v=21103)     | 4.49269000000000e-07
 | CO2(X,v=02211)     | 1.49756000000000e-07
 | CO2(X,v=10012)     | 1.49756000000000e-07
 | CO2(X,v=30004)     | 0.00000000000000e+00
 | CO2(X,v=06601)     | 0.00000000000000e+00
 | CO2(X,v=14402)     | 1.20802000000000e-08
 | CO2(X,v=22203)     | 1.78208001000000e-08
 | CO2(X,v=0n0+n00)   | 0.00000000000000e+00
 CO2(e1)              0.00000000000000e+00
 CO2(+,X)             0.00000000000000e+00
CO[6.916948%]
 CO(X)                1.00000000000000e+00
 | CO(X,v=0)          | 9.99836145927838e-01
 | | CO(X,v=0,J=0)    | | 8.49879456115109e-03
 | | CO(X,v=0,J=1)    | | 2.50989880411217e-02
 | | CO(X,v=0,J=2)    | | 4.05378034365854e-02
 | | CO(X,v=0,J=3)    | | 5.41403582330370e-02
 | | CO(X,v=0,J=4)    | | 6.53696405623762e-02
 | | CO(X,v=0,J=5)    | | 7.38608669343429e-02
 | | CO(X,v=0,J=6)    | | 7.94384609929738e-02
 | | CO(X,v=0,J=7)    | | 8.21149263807547e-02
 | | CO(X,v=0,J=8)    | | 8.20730882118730e-02
 | | CO(X,v=0,J=9)    | | 7.96350185176135e-02
 | | CO(X,v=0,J=10)   | | 7.52222007744467e-02
 | | CO(X,v=0,J=11)   | | 6.93120044638498e-02
 | | CO(X,v=0,J=12)   | | 6.23953375797303e-02
 | | CO(X,v=0,J=13)   | | 5.49395410790640e-02
 | | CO(X,v=0,J=14)   | | 4.73593812660678e-02
 | | CO(X,v=0,J=15)   | | 3.99976154062746e-02
 | | CO(X,v=0,J=16)   | | 3.31152742593033e-02
 | | CO(X,v=0,J=17)   | | 2.68906992994340e-02
 | CO(X,v=1)          | 1.63824158938868e-04
 | CO(X,v=2)          | 2.99071387121204e-08
 | CO(X,v=3)          | 6.08302480377770e-12
 | CO(X,v=4)          | 1.37851696082573e-15
 | CO(X,v=5)          | 3.48058660712399e-19
 | CO(X,v=6)          | 9.79130501750892e-23
 | CO(X,v=7)          | 3.06885606193109e-26
 | CO(X,v=8)          | 1.07166800015518e-29
 | CO(X,v=9)          | 4.16957519966356e-33
 | CO(X,v=10)         | 1.80747027223609e-36
 CO(a3P)              0.00000000000000e+00
 CO(a'3Su+)           0.00000000000000e+00
 CO(A1P)              0.00000000000000e+00
 CO(b3Su+)            0.00000000000000e+00
 CO(B1Su+)            0.00000000000000e+00
 CO(C1Su+)            0.00000000000000e+00
 CO(E1P)              0.00000000000000e+00
 CO(+,X)              0.00000000000000e+00
C[0.000000%]
 C(X)                 0.00000000000000e+00
O3[0.000000%]
 O3(X)                0.00000000000000e+00
