Time(s)              GasTemp(K)           NearWallTemp(K)      [O2(X)](m^-3)        [O2(a1Dg)](m^-3)     [O2(b1Sg+)](m^-3)    [O2(A3Su+_C3Du_c1Su-)](m^-3) [O2(+,X)](m^-3)      [O(3P)](m^-3)        [O(1D)](m^-3)        [O(+,gnd)](m^-3)     [O(-,gnd)](m^-3)     [O3(X)](m^-3)        [O3(exc)](m^-3)      [CO2(X)](m^-3)       [CO2(e1)](m^-3)      [CO2(+,X)](m^-3)     [CO(X)](m^-3)        [CO(a3P)](m^-3)      [CO(+,X)](m^-3)      [C(X)](m^-3)        
0.00000000000000e+00 4.50279763680000e+02 3.80358393656000e+02 4.12198235971697e+22 4.12198235971697e-03 4.12198235971697e-03 4.12198235971697e-03 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
6.44977598081896e-17 4.50279763679996e+02 3.99380774848576e+02 4.12198235971697e+22 1.21679083457570e+07 2.88477883136375e+06 3.72049308490448e+06 1.54192324952732e+02 9.40211336580887e+06 1.30616288341716e+06 2.52109818090110e-03 4.81423204708082e+05 1.08016877636893e-06 1.62548056953780e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.28995519616379e-16 4.50279763679991e+02 3.99380774848573e+02 4.12198235971697e+22 2.43358166873969e+07 5.76955765870622e+06 7.44098616568453e+06 3.08384649905463e+02 1.88042267317492e+07 2.61232576670289e+06 5.04219636170117e-03 9.62846409414913e+05 3.40914027309414e-06 5.13020871738250e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.93493279424569e-16 4.50279763679987e+02 3.99380774848570e+02 4.12198235971697e+22 3.65037250290418e+07 8.65433648615152e+06 1.11614792464621e+07 4.62576974858193e+02 2.82063400978236e+07 3.91848864985442e+06 7.56329454239806e-03 1.44426961412047e+06 7.01324130843251e-06 1.05538020778377e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
4.74899841159305e-16 4.50279763679969e+02 3.99380774848568e+02 4.12198235971696e+22 8.95928440947626e+07 2.12407533428481e+07 2.73941541320911e+07 1.13532486780629e+03 6.92281740863241e+07 9.61733473399431e+06 1.85629567455941e-02 3.54474022236330e+06 3.66607335413958e-05 5.51685174969988e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
7.56306402894041e-16 4.50279763679950e+02 3.99380774848555e+02 4.12198235971694e+22 1.42681963160577e+08 3.38271702014665e+07 4.36268290176734e+07 1.80807276075436e+03 1.10250008077332e+08 1.53161808156261e+07 2.95626189468620e-02 5.64521083058226e+06 9.01394840077834e-05 1.35645450060393e-08 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.03771296462878e-15 4.50279763679931e+02 3.99380774848543e+02 4.12198235971693e+22 1.95771082226487e+08 4.64135870620371e+07 5.98595039032083e+07 2.48082065370240e+03 1.51271842070888e+08 2.10150268947103e+07 4.05622811461712e-02 7.74568143877697e+06 1.67825859012208e-04 2.52550970627220e-08 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.31911952636351e-15 4.50279763679913e+02 3.99380774848531e+02 4.12198235971692e+22 2.48860201292492e+08 5.90000039245706e+07 7.60921787886955e+07 3.15356854665042e+03 1.92293676067006e+08 2.67138729712327e+07 5.15619433435112e-02 9.84615204694729e+06 2.69852685694486e-04 4.06084962718011e-08 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.15428868910565e-15 4.50279763679858e+02 3.99380774848519e+02 4.12198235971689e+22 4.06420120463910e+08 9.63544535559574e+07 1.24268132503229e+08 5.15017548796088e+03 3.14039844833420e+08 4.36271264246556e+07 8.42071617346562e-02 1.60800090982382e+07 7.16143091207376e-04 1.07768036389384e-07 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.98945785184778e-15 4.50279763679802e+02 3.99380774848482e+02 4.12198235971686e+22 5.63980039636171e+08 1.33708903204652e+08 1.72444086217342e+08 7.14678242927112e+03 4.35786013622421e+08 6.05403798554916e+07 1.16852380108437e-01 2.23138661493141e+07 1.37705017416067e-03 2.07223940455230e-07 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
