Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
8.68055555555556e-03 1.95503945348686e-01 -1.91178998557579e-03 
2.60416666666667e-02 1.95528007788813e-01 -8.34636133951139e-04 
4.34027777777778e-02 1.95549098608455e-01 -2.26718933220717e-04 
6.07638888888889e-02 1.95567639537123e-01 1.39183018370529e-04 
7.81250000000000e-02 1.95583369041515e-01 4.14508924633486e-04 
9.54861111111111e-02 1.95596103997249e-01 6.61650860068253e-04 
1.12847222222222e-01 1.95605635401762e-01 8.90345014924943e-04 
1.30208333333333e-01 1.95611804766841e-01 1.11146371549871e-03 
1.47569444444444e-01 1.95614305420093e-01 1.79631356709965e-03 
1.64930555555556e-01 1.95600288842876e-01 2.90894321288071e-03 
1.82291666666667e-01 1.95568163487261e-01 3.53049546758116e-03 
1.99652777777778e-01 1.95530610850174e-01 3.82022084044736e-03 
2.17013888888889e-01 1.95483708850874e-01 4.22078046588248e-03 
2.34375000000000e-01 1.95427465603296e-01 4.45857455180080e-03 
2.51736111111111e-01 1.95366740162460e-01 4.56463530044307e-03 
2.69097222222222e-01 1.95300734048226e-01 5.79432862426191e-03 
2.86458333333333e-01 1.95188261908355e-01 8.08350623046913e-03 
3.03819444444445e-01 1.95026481678481e-01 9.25765135163507e-03 
3.21180555555556e-01 1.94857462290781e-01 9.44848321149198e-03 
3.38541666666667e-01 1.94663609567878e-01 9.67951529104104e-03 
3.55902777777778e-01 1.94472689316280e-01 9.78107334866010e-03 
3.73263888888889e-01 1.94279010574258e-01 9.81593345292688e-03 
3.90625000000000e-01 1.94078461283354e-01 1.10995945844375e-02 
4.07986111111111e-01 1.93816925483407e-01 1.34987953956839e-02 
4.25347222222222e-01 1.93496472808870e-01 1.50783034158708e-02 
4.42708333333333e-01 1.93151177154832e-01 1.53154603186047e-02 
4.60069444444445e-01 1.92737164227701e-01 1.46171004377195e-02 
4.77430555555556e-01 1.92412593737023e-01 1.39651205981716e-02 
4.94791666666667e-01 1.92087396262549e-01 1.40104627357110e-02 
5.12152777777778e-01 1.91755051545697e-01 1.49995169723035e-02 
5.29513888888889e-01 1.91373574347565e-01 1.69497510431882e-02 
5.46875000000000e-01 1.90938445216368e-01 1.82727973317452e-02 
5.64236111111111e-01 1.90484704340694e-01 1.78248886404215e-02 
5.81597222222222e-01 1.89954815542919e-01 1.64712408692365e-02 
5.98958333333333e-01 1.89573291330547e-01 1.56183495307111e-02 
6.16319444444445e-01 1.89190598893569e-01 1.63210710850127e-02 
6.33680555555556e-01 1.88785323558446e-01 1.77051301903582e-02 
6.51041666666667e-01 1.88353389341411e-01 1.87463576410319e-02 
6.68402777777778e-01 1.87918588383440e-01 1.92871486143995e-02 
6.85763888888889e-01 1.87483052106701e-01 1.88029346377114e-02 
7.03125000000000e-01 1.86981371087948e-01 1.75443716732161e-02 
7.20486111111111e-01 1.86625517535728e-01 1.69063119344829e-02 
7.37847222222222e-01 1.86262437238638e-01 1.74817399042232e-02 
7.55208333333333e-01 1.85884340002559e-01 1.81238808249205e-02 
7.72569444444445e-01 1.85496294156215e-01 1.85683693969773e-02 
7.89930555555556e-01 1.85102180670473e-01 1.82040800535410e-02 
8.07291666666667e-01 1.84644900161769e-01 1.70566593255663e-02 
8.24652777777778e-01 1.84267998281881e-01 1.62310766609202e-02 
8.42013888888889e-01 1.83890460419856e-01 1.63631666327735e-02 
8.59375000000000e-01 1.83482102072411e-01 1.68066108786739e-02 
8.76736111111111e-01 1.83037439060395e-01 1.72851135931180e-02 
8.94097222222222e-01 1.82557639281780e-01 1.74760223214363e-02 
9.11458333333334e-01 1.82039422311684e-01 1.71374260880613e-02 
9.28819444444445e-01 1.81520587654045e-01 1.66748890589024e-02 
9.46180555555556e-01 1.81038440529933e-01 1.66155581112620e-02 
9.63541666666667e-01 1.80544490739353e-01 1.68651436895669e-02 
9.80902777777778e-01 1.80036005555875e-01 1.71723911068582e-02 
9.98263888888889e-01 1.79511806580802e-01 1.74459082863784e-02 
1.01562500000000e+00 1.78975249699999e-01 1.75196618469027e-02 
1.03298611111111e+00 1.78419756451520e-01 1.73225441349932e-02 
1.05034722222222e+00 1.77870718629736e-01 1.71387587338916e-02 
1.06770833333333e+00 1.77334576448157e-01 1.72247719378163e-02 
1.08506944444444e+00 1.76786713441499e-01 1.74422010337256e-02 
1.10243055555556e+00 1.76227247062302e-01 1.76392275163918e-02 
1.11979166666667e+00 1.75657171624025e-01 1.78113922936028e-02 
1.13715277777778e+00 1.75076930901946e-01 1.78672167006441e-02 
1.15451388888889e+00 1.74479088540154e-01 1.78177290083717e-02 
1.17187500000000e+00 1.73892763403414e-01 1.78847706333763e-02 
1.18923611111111e+00 1.73295483718694e-01 1.80682217729219e-02 
1.20659722222222e+00 1.72687115096589e-01 1.82410959756834e-02 
1.22395833333333e+00 1.72072368607773e-01 1.83825822765429e-02 
1.24131944444444e+00 1.71450672560601e-01 1.84682813432435e-02 
1.25868055555556e+00 1.70824668081311e-01 1.85368527046173e-02 
1.27604166666667e+00 1.70200303904235e-01 1.86595023226489e-02 
1.29340277777778e+00 1.69570230627163e-01 1.88165618359084e-02 
1.31076388888889e+00 1.68934796923494e-01 1.89683046439596e-02 
1.32812500000000e+00 1.68296141273374e-01 1.91166205306969e-02 
1.34548611111111e+00 1.67654275834616e-01 1.92453031744504e-02 
1.36284722222222e+00 1.67007414919374e-01 1.93548726140314e-02 
1.38020833333333e+00 1.66361859069156e-01 1.94878722379324e-02 
1.39756944444444e+00 1.65712972433830e-01 1.96420408606635e-02 
1.41493055555556e+00 1.65060821693914e-01 1.97942109664249e-02 
1.43229166666667e+00 1.64405560648228e-01 1.99415865703982e-02 
1.44965277777778e+00 1.63747263333694e-01 2.00773849190803e-02 
1.46701388888889e+00 1.63085826664232e-01 2.02040071265753e-02 
1.48437500000000e+00 1.62423228928242e-01 2.03344435458694e-02 
1.50173611111111e+00 1.61758166821830e-01 2.04671496861172e-02 
1.51909722222222e+00 1.61090794076780e-01 2.05964514022441e-02 
1.53645833333333e+00 1.60421224129034e-01 2.07208140603959e-02 
1.55381944444444e+00 1.59749309400001e-01 2.08387060233697e-02 
1.57118055555556e+00 1.59075781606528e-01 2.09550138436820e-02 
1.58854166666667e+00 1.58400772951148e-01 2.10732315974240e-02 
1.60590277777778e+00 1.57723965704007e-01 2.11909887328930e-02 
1.62326388888889e+00 1.57045461163376e-01 2.13064406843453e-02 
1.64062500000000e+00 1.56365331143618e-01 2.14179382238036e-02 
1.65798611111111e+00 1.55683524551204e-01 2.15255062303660e-02 
1.67534722222222e+00 1.55000667010883e-01 2.16325679796057e-02 
1.69270833333333e+00 1.54316539747874e-01 2.17395113779960e-02 
1.71006944444444e+00 1.53631214047392e-01 2.18445443284508e-02 
1.72743055555556e+00 1.52945416427368e-01 2.19472585471182e-02 
1.74479166666667e+00 1.52259251372753e-01 2.20476030644760e-02 
1.76215277777778e+00 1.51572820293667e-01 2.21456303223779e-02 
1.77951388888889e+00 1.50886222178483e-01 2.22413842355307e-02 
1.79687500000000e+00 1.50199553757665e-01 2.23348590919937e-02 
1.81423611111111e+00 1.49512913799215e-01 2.24258635070861e-02 
1.83159722222222e+00 1.48826411781860e-01 2.25141350542527e-02 
1.84895833333333e+00 1.48140158472920e-01 2.25996187536869e-02 
1.86631944444444e+00 1.47454261967841e-01 2.26823897431303e-02 
1.88368055555556e+00 1.46768827353637e-01 2.27625055099247e-02 
1.90104166666667e+00 1.46083957040615e-01 2.28400437024106e-02 
1.91840277777778e+00 1.45399352042057e-01 2.29150470668045e-02 
1.93576388888889e+00 1.44714793005931e-01 2.29875394137610e-02 
1.95312500000000e+00 1.44030370578831e-01 2.30575627094653e-02 
1.97048611111111e+00 1.43346171939065e-01 2.31250910412462e-02 
1.98784722222222e+00 1.42662274882331e-01 2.31900423396768e-02 
2.00520833333333e+00 1.41978771374536e-01 2.32524126990523e-02 
2.02256944444445e+00 1.41295752013323e-01 2.33122434618203e-02 
2.03993055555556e+00 1.40613305059452e-01 2.33695557420575e-02 
2.05729166666667e+00 1.39931517041351e-01 2.34243860783795e-02 
2.07465277777778e+00 1.39250472204256e-01 2.34767819932307e-02 
2.09201388888889e+00 1.38570252760098e-01 2.35267910204261e-02 
2.10937500000000e+00 1.37890907105953e-01 2.35744443335492e-02 
2.12673611111111e+00 1.37211754773556e-01 2.36196566867482e-02 
2.14409722222222e+00 1.36532874725317e-01 2.36624176603450e-02 
2.16145833333333e+00 1.35854343777694e-01 2.37027785673239e-02 
2.17881944444445e+00 1.35176236904039e-01 2.37407816038133e-02 
2.19618055555556e+00 1.34498627560693e-01 2.37764308480421e-02 
2.21354166666667e+00 1.33821546761840e-01 2.38096352725876e-02 
2.23090277777778e+00 1.33144961866009e-01 2.38402559977827e-02 
2.24826388888889e+00 1.32468955055418e-01 2.38682375196495e-02 
2.26562500000000e+00 1.31793606020827e-01 2.38935990417861e-02 
2.28298611111111e+00 1.31118992999430e-01 2.39163796709246e-02 
2.30034722222222e+00 1.30445192382712e-01 2.39366241735926e-02 
2.31770833333333e+00 1.29772314365458e-01 2.39543649599915e-02 
2.33506944444445e+00 1.29100465406035e-01 2.39696304829559e-02 
2.35243055555556e+00 1.28429717755512e-01 2.39824631151707e-02 
2.36979166666667e+00 1.27760141761018e-01 2.39929086719665e-02 
2.38715277777778e+00 1.27091806124891e-01 2.40010133258008e-02 
2.40451388888889e+00 1.26424777638543e-01 2.40067762198720e-02 
2.42187500000000e+00 1.25760437115383e-01 2.40102272378030e-02 
2.43923611111111e+00 1.25099264266918e-01 2.40114418599444e-02 
2.45659722222222e+00 1.24441321528644e-01 2.40104718587027e-02 
2.47395833333333e+00 1.23786669283854e-01 2.40073564774303e-02 
2.49131944444445e+00 1.23135366007905e-01 2.40021346477924e-02 
2.50868055555556e+00 1.22487468183819e-01 2.39949022770110e-02 
2.52604166666667e+00 1.21841135566042e-01 2.39856730301861e-02 
2.54340277777778e+00 1.21196424075505e-01 2.39743897068570e-02 
2.56076388888889e+00 1.20553388214599e-01 2.39610918876733e-02 
2.57812500000000e+00 1.19912081036150e-01 2.39458197707818e-02 
2.59548611111111e+00 1.19272554116282e-01 2.39286217185282e-02 
2.61284722222222e+00 1.18634908212374e-01 2.39095456630054e-02 
2.63020833333333e+00 1.17999353014266e-01 2.38886372093709e-02 
2.64756944444445e+00 1.17365934698145e-01 2.38659441650257e-02 
2.66493055555556e+00 1.16734698070816e-01 2.38415026771513e-02 
2.68229166666667e+00 1.16105686652765e-01 2.38153473477337e-02 
2.69965277777778e+00 1.15478942696996e-01 2.37875251229222e-02 
2.71701388888889e+00 1.14854507062239e-01 2.37581099719423e-02 
2.73437500000000e+00 1.14232417964291e-01 2.37271786231171e-02 
2.75173611111111e+00 1.13612711004277e-01 2.36947792776227e-02 
2.76909722222222e+00 1.12995420654352e-01 2.36609414164471e-02 
2.78645833333333e+00 1.12380580381777e-01 2.36256877134662e-02 
2.80381944444445e+00 1.11768222922920e-01 2.35890415194261e-02 
