p(Torr) I(mA) Twall Flow(sccm) fracCO2 fracO2 lossFreq(s-1) E/N(Td) Te(eV) n_e(m-3) GasTemp(K) NearWallTemp(K) [O2(X)](m^-3) [O2(a1Dg)](m^-3) [O2(b1Sg+)](m^-3) [O2(+,X)](m^-3) [O(3P)](m^-3) [O(1D)](m^-3) [O(+,gnd)](m^-3) [O(-,gnd)](m^-3) [O3(X)](m^-3) [O3(exc)](m^-3) [CO2(X)](m^-3) [CO2(+,X)](m^-3) [CO(X)](m^-3) [CO(a3P)](m^-3) [CO(+,X)](m^-3) [C(X)](m^-3) 
1 20 298.15 7.788800000000001 0.25 0.75 14.8018069804 65.36997655815679 2.34298862562095 3225547374338541 349.121746618235 303.907521107102 1.47920134759184e+22 1.00654390688916e+21 1.34528203578834e+19 4099252405477110 5.82621917869017e+21 5.43940676637247e+16 4496372701881.01 888174613717204 1.6400140965684e+18 1.89262428704587e+16 4.67312761755866e+21 6858634755173.16 1.34521410626124e+21 2133086459162070 371285235153.273 58343262457413.6 
1.5 20 298.15 7.788800000000001 0.25 0.75 16.1814471789 60.169905635794 2.23401055621004 3444427461661770 364.244116588726 305.767890256424 2.27158509524851e+22 1.51885821401006e+21 1.3108105977673e+19 4505624905331240 6.62968299515779e+21 4.25041116296069e+16 1573482512506.32 1069506348085450 2.79624573782618e+18 3.40564684525162e+16 7.05936688454672e+21 3545355312303.41 1.82537805890216e+21 1862645385828040 142073695884.236 31597979439404.1 
2 20 298.15 7.788800000000001 0.25 0.75 17.7082261493 57.0472107351292 2.16993940610194 3593587006887349 377.255414968023 307.444631395716 3.05104446627562e+22 2.00021471078955e+21 1.25943854864495e+19 4828044533412980 7.01570706858532e+21 3.51440770144691e+16 731637816586.14 1240289434882190 3.77739491835628e+18 4.8195566482647e+16 9.469053804778571e+21 2266257374343.85 2.17991469199574e+21 1650057687648460 70183354548.6378 20269663101878.4 
1 40 298.15 7.788800000000001 0.25 0.75 24.5368531286 64.78097316919479 2.33479632623386 6425317303677247 382.686532883498 308.553109632306 1.22191206154674e+22 1.10577598478009e+21 3.05266100613424e+19 7763759808219480 6.59646102092677e+21 1.38242885542783e+17 14718448024159.3 1366667434967320 7.6086221095939e+17 9166077270783340 3.65165047975263e+21 13044671955260.1 1.62854732778484e+21 5268601201141530 1347131838189.25 192160521408767 
1.5 40 298.15 7.788800000000001 0.25 0.75 26.5620495782 59.8755047822318 2.22632387020867 6846305032839111 405.416026176051 311.767631307874 1.86926303145163e+22 1.63449525758375e+21 2.99735599720969e+19 8478161367501310 7.6636132730302e+21 1.0970963263038e+17 5380734879476.99 1643854351943400 1.21554990787963e+18 1.57183955352324e+16 5.55633910952339e+21 6992872874771.78 2.14908089363818e+21 4553053715209170 515832349518.339 103465437462785 
2 40 298.15 7.788800000000001 0.25 0.75 31.4088767574 57.3317663465526 2.16950221907575 7119409168623561 425.39151933838 314.727220787046 2.53610330182258e+22 2.13428605663365e+21 2.85566028814821e+19 9107336750848620 7.81221180297291e+21 8.870883240536419e+16 2466860720995.59 1994861604784170 1.56115842454716e+18 2.13156094108869e+16 7.5689374948507e+21 4824586294335.13 2.49302362396339e+21 4087508163866070 252625285587.09 65158769402672.5 
3 40 298.15 7.788800000000001 0.25 0.75 32.7512697883 53.322933288929 2.08908750279648 7521898563532772 456.149817652504 319.708596007192 3.71209139004525e+22 3.03498882604984e+21 2.65906562016159e+19 9879266112676100 8.94533327936045e+21 7.08580911602009e+16 924161563681.907 2360472966615810 2.02839806778229e+18 3.10600723172547e+16 1.13270323837835e+22 2588076618192.42 3.05062481331611e+21 3300174359793650 94355687579.701 35485726258683.8 
7.5 40 298.15 7.788800000000001 0.25 0.75 55.1950470203 47.0010124217432 1.96575139590942 8306325912531568 551.26060043271 337.460149153779 8.51355969998072e+22 6.24680531475087e+21 2.03145668598392e+19 1.24206355771091e+16 8.69280336453693e+21 3.71383203440293e+16 87489329516.4361 4116759855226030 2.39855481698634e+18 4.803798982185e+16 2.7440862509985e+22 783423505998.7729 3.83720788643126e+21 1809594745756600 9761512074.31249 8171204648677.93 
1 40 278.15 7.788800000000001 0.25 0.75 28.7216626104 65.1290021019537 2.33217042102626 6441251337922410 369.380390227599 288.986899791798 1.32712376283365e+22 1.1731191141469e+21 3.02091830970336e+19 7930920394278910 6.09920393446482e+21 1.25113503517103e+17 11931358676635.2 1515361202096570 9.20309544873754e+17 1.17195664867987e+16 3.91866520310576e+21 13250924388691.1 1.64846346701166e+21 5346955285233200 1170370715892.71 171436880780700 
1 20 278.15 7.788800000000001 0.25 0.75 17.8282673606 65.549015390034 2.33744680148645 3238222642530256 333.950401582489 284.184965422153 1.61214943498846e+22 1.08036892625191e+21 1.31480778724845e+19 4217102105318720 5.30370891837514e+21 4.8823997957293e+16 3545112807066.67 991772003027494 2.08112407233599e+18 2.54192535911506e+16 5.01855821294423e+21 6881653181660.35 1.37553494404488e+21 2166410316668100 320571737038.519 51938071400708.5 
