p(Torr) I(mA) Twall Flow(sccm) fracCO2 fracO2 lossFreq(s-1) E/N(Td) Te(eV) n_e(m-3) GasTemp(K) NearWallTemp(K) [O2(X)](m^-3) [O2(a1Dg)](m^-3) [O2(b1Sg+)](m^-3) [O2(+,X)](m^-3) [O(3P)](m^-3) [O(1D)](m^-3) [O(+,gnd)](m^-3) [O(-,gnd)](m^-3) [O3(X)](m^-3) [O3(exc)](m^-3) [CO2(X)](m^-3) [CO2(+,X)](m^-3) [CO(X)](m^-3) [CO(a3P)](m^-3) [CO(+,X)](m^-3) [C(X)](m^-3) 
1 20 223.15 7.792000000000001 1 0 10.0636052729 79.64570148155271 1.76253198001652 3537100701616992 305.930944415628 231.147411773363 2.92401333336752e+21 1.45005594624341e+20 2.87161141925417e+17 3531319131256430 2.02926924483834e+21 7842641330482650 1074878853654.08 67394492444653.4 3.75203349099643e+17 1440863451804270 1.82968755114052e+22 72513947851827.7 8.169006231676651e+21 1.50577326054197e+16 556393344741.795 2519763444486540 
1.5 20 223.15 7.792000000000001 1 0 11.6539387274 73.92066597716121 1.60261223902373 3704959625165112 326.346905535633 233.59531001246 4.63308444891693e+21 2.15739501644141e+20 2.89948338091273e+17 3725090324256100 2.0878961133266e+21 5705359843990930 438797927655.873 62401194747077.8 4.96704218147349e+17 2713980423346670 2.56603903828225e+22 42013654663345.6 1.17876195279852e+22 1.25827105005216e+16 264267137122.768 1636570601223150 
2 20 223.15 7.792000000000001 1 0 12.0542303447 70.3095022526448 1.50121395627462 3814979893794347 343.04699793313 235.756932809058 6.18819896665442e+21 2.72938691381175e+20 2.80177888448595e+17 3845356690941160 2.18929188528859e+21 4573553917142840 235330985136.095 57702896895999.8 5.49187789271997e+17 3871545798437180 3.25354850789127e+22 27778581402607.8 1.51137857610408e+22 1.08132325575696e+16 155632259490.925 1241459208469520 
3 20 223.15 7.792000000000001 1 0 14.3727030392 65.9422402412703 1.37528061150821 3951258233722400 370.372929273761 239.563179373797 9.199827175326289e+21 3.70238276954673e+20 2.57422550843305e+17 3987265411183710 2.04320910428281e+21 3154653643383380 89916646402.13499 51555262517200.2 5.36104389921754e+17 5686685539307340 4.54203685080216e+22 16414486515368.5 2.11854809605306e+22 8732932530571180 73535293123.8297 857232902495377 
1 40 223.15 7.792000000000001 1 0 10.274035978 82.15681711676029 1.7453575427245 7050040544483748 352.783144044147 237.473804565702 2.59233671748655e+21 1.64822463891898e+20 1.00053172530773e+18 7041214929889660 3.4572277283773e+21 2.99500662393452e+16 4665746129719.69 105168969396605 1.75425986889237e+17 728387805362196 1.21829408022389e+22 100169326092268 8.97407648723787e+21 2.9671194954133e+16 2572649454903.4 6799517113332710 
1.5 40 223.15 7.792000000000001 1 0 14.6031555436 77.20391144044279 1.58505198235988 7435458621583644 382.913969442534 241.750140527487 4.47443603494885e+21 2.68356991796511e+20 1.06682751291106e+18 7473114297924490 3.27037736144255e+21 2.08071769708062e+16 1883994069226.48 109498485671363 2.04407514323899e+17 1507798543628620 1.70569641179732e+22 65796213796585.3 1.27587156138371e+22 2.6779228876806e+16 1249589683898.84 4143185113752740 
2 40 223.15 7.792000000000001 1 0 18.0222343948 73.9325692832435 1.48314109604538 7688795892524026 407.038164263602 245.479208667929 6.20584084269776e+21 3.53654589673472e+20 1.03937183214749e+18 7744599322820170 3.06871245464544e+21 1.58061096908407e+16 974627401724.673 108117696799502 2.03747031828689e+17 2153387778129190 2.16240341687458e+22 48624623560745.8 1.61904006842258e+22 2.42984797538636e+16 743980220544.342 3092631052650500 
3 40 223.15 7.792000000000001 1 0 20.9511399378 69.5371910849771 1.35562505375512 8033317024867416 445.274335702186 251.969047725997 9.18467850789992e+21 4.83131657801769e+20 9.39973610791847e+17 8102726339585000 2.99947634151653e+21 1.10920440007028e+16 400160513868.777 100473689524478 1.90891993702152e+17 3078481588070000 3.00487447312333e+22 29818412378673.5 2.23375613956342e+22 2.02187512300648e+16 360431506054.698 2157596051368520 
5 40 223.15 7.792000000000001 1 0 26.2960336009 64.7030704831148 1.22298577218858 8403161010183613 502.157044321014 262.769421568536 1.4400337383252e+22 6.74107302239624e+20 7.69412600782809e+17 8476809821526570 2.68089095415807e+21 6819429273951260 122704764871.267 89149942207266.3 1.57413458710319e+17 4028634247829490 4.55660045655607e+22 16359032705732.8 3.28318088576357e+22 1.56378128091587e+16 144035474425.638 1421675401868560 
7.5 40 223.15 7.792000000000001 1 0 39.0683746061 61.4489773456052 1.12966112814643 8584283440593609 555.807287627305 274.126914435344 2.0067970941486e+22 8.374253672729579e+20 6.068883497221789e+17 8654577916353960 1.90605942737387e+21 4207035580616410 38916019851.94 79036484518574.59 1.15577994666673e+17 3838843165221960 6.37783181725872e+22 10665805906801.9 4.37184312252751e+22 1.24023652921984e+16 68101795560.1098 1019831487664220 
1 20 253.15 7.792000000000001 1 0 8.46351674355 80.6408063298543 1.7961841136209 3504122794017321 327.06649178213 260.725356616582 2.55028231824921e+21 1.25856916442862e+20 2.84887882688702e+17 3497627043461940 2.21055837352434e+21 8983624090815100 1344665274169.81 68058795226096.6 2.2543210848598e+17 878222213188398 1.70735452802851e+22 75689518508465.8 7.5640808197189e+21 1.51136657077553e+16 646898944584.483 2831958045933000 
1 40 253.15 7.792000000000001 1 0 9.97990305714 83.13593561880231 1.77453241712878 6984662704619122 372.112135810263 266.89066624808 2.37886710255139e+21 1.50930217860905e+20 9.94570042937793e+17 6975031679171440 3.4090090809482e+21 3.20758468641824e+16 5354146685632.89 107185795234005 1.15825941617926e+17 515927240367342 1.15390188911097e+22 109201635741271 8.47094285859077e+21 3.03573489830862e+16 2898785664561.06 7403538422868630 
1.5 20 253.15 7.792000000000001 1 0 7.5759442621 74.29071036264391 1.62868470258399 3677901442024475 345.828723341613 263.058552457685 3.90742259168779e+21 1.82502899327316e+20 2.81381129882908e+17 3700193234728470 2.78561972483819e+21 7104330819061250 601701373096.689 60636480909425 3.29916585909219e+17 1711598986499160 2.4042191348131e+22 38418188131835.1 1.0967027179047e+22 1.20624859164746e+16 304268840817.668 1838900550867840 
