Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
1.25000000000000e-02 5.57837700419867e-01 1.50644625420120e-02 
3.75000000000000e-02 5.57355062424130e-01 1.10029626960454e-02 
6.25000000000000e-02 5.56632232569885e-01 1.87821394739762e-02 
8.75000000000000e-02 5.55746183148809e-01 2.42633521379206e-02 
1.12500000000000e-01 5.54771109557222e-01 2.74589273567718e-02 
1.37500000000000e-01 5.53763427750708e-01 2.93909812682778e-02 
1.62500000000000e-01 5.52708100282210e-01 3.07332927822118e-02 
1.87500000000000e-01 5.51656856096617e-01 3.16683570222436e-02 
2.12500000000000e-01 5.50600286967382e-01 3.24040641767084e-02 
2.37500000000000e-01 5.49520735947153e-01 3.30431333054717e-02 
2.62500000000000e-01 5.48420061285980e-01 3.41081007244049e-02 
2.87500000000000e-01 5.47283627465787e-01 3.54054344003900e-02 
3.12500000000000e-01 5.46127675195029e-01 3.56200511678095e-02 
3.37500000000000e-01 5.44979576740556e-01 3.48777621586694e-02 
3.62500000000000e-01 5.43857165899697e-01 3.39749642513179e-02 
3.87500000000000e-01 5.42751757620797e-01 3.36124246339514e-02 
4.12500000000000e-01 5.41626714841857e-01 3.40935748424750e-02 
4.37500000000000e-01 5.40462015087866e-01 3.41742204698578e-02 
4.62500000000000e-01 5.39277046932879e-01 3.34937421238575e-02 
4.87500000000000e-01 5.38131658561280e-01 3.31751042874699e-02 
5.12500000000000e-01 5.36966844151120e-01 3.36958217602053e-02 
5.37500000000000e-01 5.35767545421567e-01 3.47647685298374e-02 
5.62500000000000e-01 5.34521025096723e-01 3.55461450350220e-02 
5.87500000000000e-01 5.33228019398408e-01 3.59897949193442e-02 
6.12500000000000e-01 5.31941895350669e-01 3.73654352303567e-02 
6.37500000000000e-01 5.30580113698730e-01 3.97288392583473e-02 
6.62500000000000e-01 5.29129235644339e-01 4.21539102054376e-02 
6.87500000000000e-01 5.27598551138019e-01 4.43439851234800e-02 
7.12500000000000e-01 5.25968329697478e-01 4.65797502261600e-02 
7.37500000000000e-01 5.24270807734927e-01 4.94885990789910e-02 
7.62500000000000e-01 5.22444105331994e-01 5.30628100297782e-02 
7.87500000000000e-01 5.20471378492058e-01 5.66862801926567e-02 
8.12500000000000e-01 5.18312079298050e-01 6.02655747366649e-02 
8.37500000000000e-01 5.16035643849823e-01 6.47190252485671e-02 
8.62500000000000e-01 5.13540037062947e-01 6.99977610800243e-02 
8.87500000000000e-01 5.10802053488385e-01 7.57078934899163e-02 
9.12500000000000e-01 5.07801153714156e-01 8.17594205959719e-02 
9.37500000000000e-01 5.04525446854162e-01 8.81618504493395e-02 
9.62500000000000e-01 5.00980977625197e-01 9.50703987111964e-02 
9.87500000000000e-01 4.97128754812795e-01 1.02411084894885e-01 
1.01250000000000e+00 4.92951126373414e-01 1.09971731398957e-01 
1.03750000000000e+00 4.88345694509477e-01 1.17557053350924e-01 
1.06250000000000e+00 4.83334253341685e-01 1.25319664021205e-01 
1.08750000000000e+00 4.77868322832787e-01 1.33120097829671e-01 
1.11250000000000e+00 4.71932494188138e-01 1.40836939196158e-01 
1.13750000000000e+00 4.65525419799224e-01 1.48443733532453e-01 
1.16250000000000e+00 4.58620970693723e-01 1.55913649001132e-01 
1.18750000000000e+00 4.51231590708825e-01 1.63278413803162e-01 
1.21250000000000e+00 4.43326761477925e-01 1.70440889356060e-01 
1.23750000000000e+00 4.34787744284697e-01 1.77180057949602e-01 
1.26250000000000e+00 4.25595572266865e-01 1.83330576630870e-01 
1.28750000000000e+00 4.15763810304327e-01 1.88698909486705e-01 
1.31250000000000e+00 4.05297410451659e-01 1.93052364748284e-01 
1.33750000000000e+00 3.94166850475997e-01 1.96156142811937e-01 
1.36250000000000e+00 3.82407158119402e-01 1.97860643315073e-01 
1.38750000000000e+00 3.70083733064609e-01 1.98092117609916e-01 
1.41250000000000e+00 3.57254183275549e-01 1.96844118037421e-01 
1.43750000000000e+00 3.44001859132443e-01 1.94192145412884e-01 
1.46250000000000e+00 3.30411389797829e-01 1.90299463386362e-01 
1.48750000000000e+00 3.16580251900422e-01 1.85387825430022e-01 
1.51250000000000e+00 3.02605307682116e-01 1.79732592932730e-01 
1.53750000000000e+00 2.88747179575166e-01 1.73568378916586e-01 
1.56250000000000e+00 2.75087819312335e-01 1.67169966847607e-01 
1.58750000000000e+00 2.61695239850445e-01 1.60736529470284e-01 
1.61250000000000e+00 2.48624990236470e-01 1.54394785866239e-01 
1.63750000000000e+00 2.36012173795238e-01 1.48180215847482e-01 
1.66250000000000e+00 2.23875189351990e-01 1.42126386199929e-01 
1.68750000000000e+00 2.12210706278300e-01 1.36197133031793e-01 
1.71250000000000e+00 2.01001526026664e-01 1.30339866305804e-01 
1.73750000000000e+00 1.90363243528679e-01 1.24467157135821e-01 
1.76250000000000e+00 1.80274424431395e-01 1.18566750155992e-01 
1.78750000000000e+00 1.70716876094130e-01 1.12629863943151e-01 
1.81250000000000e+00 1.61680025838741e-01 1.06689010609005e-01 
1.83750000000000e+00 1.53158952163910e-01 1.00827992446656e-01 
1.86250000000000e+00 1.45144709864791e-01 9.51656438182100e-02 
1.88750000000000e+00 1.37627501549654e-01 8.98187335239646e-02 
1.91250000000000e+00 1.30592439112715e-01 8.48695579935046e-02 
1.93750000000000e+00 1.24095239655735e-01 8.02964941635221e-02 
1.96250000000000e+00 1.18105025556644e-01 7.60936953637387e-02 
1.98750000000000e+00 1.12594983963305e-01 7.22165981294699e-02 
2.01250000000000e+00 1.07527910289608e-01 6.85951038072679e-02 
2.03750000000000e+00 1.02866883100116e-01 6.51706266978917e-02 
2.06250000000000e+00 9.85841557106165e-02 6.19209199566497e-02 
2.08750000000000e+00 9.46428279451749e-02 5.88367227237022e-02 
2.11250000000000e+00 9.10064686366764e-02 5.58891945178424e-02 
2.13750000000000e+00 8.75930100206012e-02 5.30965987145567e-02 
2.16250000000000e+00 8.43920456458717e-02 5.04459575549351e-02 
2.18750000000000e+00 8.13893637796361e-02 4.79301386631369e-02 
2.21250000000000e+00 7.85812020040796e-02 4.55398567130989e-02 
2.23750000000000e+00 7.59526629408648e-02 4.32891663543224e-02 
2.26250000000000e+00 7.35011371326521e-02 4.11828368998635e-02 
2.28750000000000e+00 7.12168089370539e-02 3.92184689156974e-02 
2.31250000000000e+00 6.90840040870378e-02 3.73914769607680e-02 
2.33750000000000e+00 6.70892729278162e-02 3.56909294593987e-02 
2.36250000000000e+00 6.52111876965146e-02 3.41002313518668e-02 
2.38750000000000e+00 6.34389035810203e-02 3.25962293452455e-02 
2.41250000000000e+00 6.17619716061738e-02 3.11698876602344e-02 
2.43750000000000e+00 6.01801906778719e-02 2.98137945169998e-02 
2.46250000000000e+00 5.86889702033873e-02 2.85321923109796e-02 
2.48750000000000e+00 5.72918882744020e-02 2.73300171347933e-02 
2.51250000000000e+00 5.59827589818116e-02 2.62127568239918e-02 
2.53750000000000e+00 5.47463047702479e-02 2.51815082309894e-02 
2.56250000000000e+00 5.35741561113922e-02 2.42272581214344e-02 
2.58750000000000e+00 5.24583287064418e-02 2.33360968264203e-02 
2.61250000000000e+00 5.13910956413077e-02 2.24917165287003e-02 
2.63750000000000e+00 5.03682850045377e-02 2.16824817516231e-02 
2.66250000000000e+00 4.93895043997194e-02 2.09036454068479e-02 
2.68750000000000e+00 4.84534493289726e-02 2.01582074190354e-02 
2.71250000000000e+00 4.75614774749460e-02 1.94523938660517e-02 
2.73750000000000e+00 4.67115968220857e-02 1.87948464126070e-02 
2.76250000000000e+00 4.59025670214788e-02 1.81867129482872e-02 
2.78750000000000e+00 4.51282285979472e-02 1.76238649514710e-02 
2.81250000000000e+00 4.43856324292521e-02 1.70960725603670e-02 
2.83750000000000e+00 4.36684706437118e-02 1.65962664449846e-02 
2.86250000000000e+00 4.29759444599340e-02 1.61168204525441e-02 
2.88750000000000e+00 4.23059541515853e-02 1.56562454347867e-02 
2.91250000000000e+00 4.16596193315742e-02 1.52166373791956e-02 
2.93750000000000e+00 4.10360770472130e-02 1.48029195715490e-02 
2.96250000000000e+00 4.04348143629929e-02 1.44173616801783e-02 
2.98750000000000e+00 3.98537278231095e-02 1.40597032391402e-02 
3.01250000000000e+00 3.92909485757568e-02 1.37260420843732e-02 
3.03750000000000e+00 3.87443856610034e-02 1.34109366882069e-02 
3.06250000000000e+00 3.82125988068314e-02 1.31094145212294e-02 
3.08750000000000e+00 3.76948842712517e-02 1.28186422120835e-02 
3.11250000000000e+00 3.71909652861856e-02 1.25380964268617e-02 
3.13750000000000e+00 3.67008873283126e-02 1.22695065101028e-02 
3.16250000000000e+00 3.62241042893042e-02 1.20157833589728e-02 
3.18750000000000e+00 3.57602185452657e-02 1.17779003246373e-02 
3.21250000000000e+00 3.53079093566841e-02 1.15546105078226e-02 
