Species               Population
--------------------------------------------------------------------------------------------------
O2[65.978193%]
 O2(X)                9.14105445556568e-01
 | O2(X,v=0)          | 1.00000000000000e+00
 | O2(X,v=1)          | 0.00000000000000e+00
 | O2(X,v=2)          | 0.00000000000000e+00
 | O2(X,v=3)          | 0.00000000000000e+00
 | O2(X,v=4)          | 0.00000000000000e+00
 O2(a1Dg)             8.50846438808711e-02
 O2(b1Sg+)            7.67240315015422e-04
 O2(A3Su+_C3Du_c1Su-) 4.26702475450540e-05
 O2(9.97eV)           0.00000000000000e+00
 O2(14.7eV)           0.00000000000000e+00
 O2(+,X)              0.00000000000000e+00
O[34.021807%]
 O(3P)                9.99662741179328e-01
 O(1D)                3.37258820671962e-04
 O(1S)                0.00000000000000e+00
 O(4S0)               0.00000000000000e+00
 O(2D0)               0.00000000000000e+00
 O(2P0)               0.00000000000000e+00
 O(3P0)               0.00000000000000e+00
 O(-,gnd)             0.00000000000000e+00
 O(+,gnd)             0.00000000000000e+00
CO2[0.000000%]
 CO2(X)               1.00000000000000e+00
 | CO2(X,v=00001)     | 9.19698215000000e-01
 | CO2(X,v=01101)     | 7.41884390000000e-02
 | CO2(X,v=02201)     | 2.87871000000000e-03
 | CO2(X,v=10002)     | 2.87871000000000e-03
 | CO2(X,v=03301)     | 1.07463000000000e-04
 | CO2(X,v=11102)     | 2.14927000000000e-04
 | CO2(X,v=00011)     | 1.18866000000000e-05
 | CO2(X,v=04401)     | 3.71299000000000e-06
 | CO2(X,v=12202)     | 7.42598000000000e-06
 | CO2(X,v=20003)     | 5.56949000000000e-06
 | CO2(X,v=01111)     | 3.71299000000000e-06
 | CO2(X,v=05501)     | 1.49756000000000e-07
 | CO2(X,v=13302)     | 2.99512000000000e-07
 | CO2(X,v=21103)     | 4.49269000000000e-07
 | CO2(X,v=02211)     | 1.49756000000000e-07
 | CO2(X,v=10012)     | 1.49756000000000e-07
 | CO2(X,v=30004)     | 0.00000000000000e+00
 | CO2(X,v=06601)     | 0.00000000000000e+00
 | CO2(X,v=14402)     | 1.20802000000000e-08
 | CO2(X,v=22203)     | 1.78208001000000e-08
 | CO2(X,v=0n0+n00)   | 0.00000000000000e+00
 CO2(e1)              0.00000000000000e+00
 CO2(+,X)             0.00000000000000e+00
CO[0.000000%]
 CO(X)                1.00000000000000e+00
 | CO(X,v=0)          | 9.99994738254513e-01
 | | CO(X,v=0,J=0)    | | 1.12340721055910e-02
 | | CO(X,v=0,J=1)    | | 3.29719631050717e-02
 | | CO(X,v=0,J=2)    | | 5.25976379919829e-02
 | | CO(X,v=0,J=3)    | | 6.89530224635533e-02
 | | CO(X,v=0,J=4)    | | 8.12162907419875e-02
 | | CO(X,v=0,J=5)    | | 8.89662005421043e-02
 | | CO(X,v=0,J=6)    | | 9.21921135231305e-02
 | | CO(X,v=0,J=7)    | | 9.12527753982733e-02
 | | CO(X,v=0,J=8)    | | 8.67949569116792e-02
 | | CO(X,v=0,J=9)    | | 7.96482544449571e-02
 | | CO(X,v=0,J=10)   | | 7.07139977555633e-02
 | | CO(X,v=0,J=11)   | | 6.08644510557157e-02
 | | CO(X,v=0,J=12)   | | 5.08641748174325e-02
 | | CO(X,v=0,J=13)   | | 4.13198011939796e-02
 | | CO(X,v=0,J=14)   | | 3.26588783479190e-02
 | | CO(X,v=0,J=15)   | | 2.51339132871094e-02
 | | CO(X,v=0,J=16)   | | 1.88449006990904e-02
 | | CO(X,v=0,J=17)   | | 1.37725956148591e-02
 | CO(X,v=1)          | 5.26171329685699e-06
 | CO(X,v=2)          | 3.21902511074976e-11
 | CO(X,v=3)          | 2.28975632548843e-16
 | CO(X,v=4)          | 1.89374670014572e-21
 | CO(X,v=5)          | 1.82105150625897e-26
 | CO(X,v=6)          | 2.03605867152840e-31
 | CO(X,v=7)          | 2.64683010956284e-36
 | CO(X,v=8)          | 4.00064082980107e-41
 | CO(X,v=9)          | 7.03073579788443e-46
 | CO(X,v=10)         | 1.43661273601656e-50
 CO(a3P)              0.00000000000000e+00
 CO(a'3Su+)           0.00000000000000e+00
 CO(A1P)              0.00000000000000e+00
 CO(b3Su+)            0.00000000000000e+00
 CO(B1Su+)            0.00000000000000e+00
 CO(C1Su+)            0.00000000000000e+00
 CO(E1P)              0.00000000000000e+00
 CO(+,X)              0.00000000000000e+00
C[0.000000%]
 C(X)                 0.00000000000000e+00
O3[0.000000%]
 O3(X)                0.00000000000000e+00
