Time(s)              GasTemp(K)           NearWallTemp(K)      [O2(X)](m^-3)        [O2(a1Dg)](m^-3)     [O2(b1Sg+)](m^-3)    [O2(A3Su+_C3Du_c1Su-)](m^-3) [O2(+,X)](m^-3)      [O(3P)](m^-3)        [O(1D)](m^-3)        [O(+,gnd)](m^-3)     [O(-,gnd)](m^-3)     [O3(X)](m^-3)        [O3(exc)](m^-3)      [CO2(X)](m^-3)       [CO2(e1)](m^-3)      [CO2(+,X)](m^-3)     [CO(X)](m^-3)        [CO(a3P)](m^-3)      [CO(+,X)](m^-3)      [C(X)](m^-3)        
0.00000000000000e+00 4.91689002000000e+02 3.98992550900000e+02 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 1.43567400572087e+20 1.43567400572087e-05 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
4.09799524497210e-14 4.91689001269813e+02 4.17400963476159e+02 5.81351299143494e-07 4.41557334725131e-20 1.00735898972315e-20 2.09948509528844e-20 4.16911462264362e-18 2.52198651780799e+06 2.01412079066854e+06 7.32742882744089e-10 9.91586807902995e+04 1.99352867698890e-33 4.86784114347240e-66 1.43567400572071e+20 1.14133511748345e+07 5.23743869990765e+04 2.11327947698016e+06 2.52198651228783e+06 4.03918560165049e-10 2.64737292925666e-09 
8.19599048994419e-14 4.91689000539626e+02 4.17400962991115e+02 1.83481338373487e-06 1.90409956215362e-19 4.34396999101715e-20 9.05347581095120e-20 1.86103867026844e-17 5.04397304185147e+06 4.02824157517496e+06 2.31262310545669e-09 1.98317361578073e+05 1.48883787321447e-32 1.02605726872869e-64 1.43567400572055e+20 2.28267023467586e+07 1.04748773542431e+05 4.22655895417898e+06 5.04397302442918e+06 1.27481468827080e-09 8.35542173514167e-09 
1.22939857349163e-13 4.91688999809440e+02 4.17400962506071e+02 3.77455545709175e-06 4.99934030586850e-19 1.14053827311900e-19 2.37705041326540e-19 4.98121351304460e-17 7.56595957226187e+06 6.04236235338935e+06 4.75749971711358e-09 2.97476042363266e+05 5.57318130398302e-32 7.33483335931220e-64 1.43567400572039e+20 3.42400535157255e+07 1.57123159620456e+05 6.33983843160105e+06 7.56595953642095e+06 2.62253303142576e-09 1.71886705071011e-08 
3.42748798330789e-13 4.91688995892852e+02 4.17400962021027e+02 2.52413596916530e-05 8.18091015865374e-18 1.86637447678362e-18 3.88980037625841e-18 8.52662088763888e-16 2.10934323848619e+07 1.68457363117962e+07 3.18145440343209e-08 8.29345000424315e+05 2.85379640018301e-30 2.93831766235644e-61 1.43567400571952e+20 9.54591736361475e+07 4.38049743054528e+05 1.76750815519477e+07 2.10934321451850e+07 1.75375079974282e-08 1.14944771321583e-07 
5.62557739312415e-13 4.91688991976264e+02 4.17400959419340e+02 6.61728131775109e-05 3.12142243227328e-17 7.12114306029701e-18 1.48415150523915e-17 3.27994800610724e-15 3.46209053780444e+07 2.76491100917450e+07 8.34050896464272e-08 1.36121395841220e+06 1.61432515402737e-29 3.74251749189911e-60 1.43567400571866e+20 1.56678293672698e+08 7.18976313290673e+05 2.90103246786265e+07 3.46209047497069e+07 4.59763742323730e-08 3.01339506155596e-07 
7.82366680294042e-13 4.91688988059677e+02 4.17400956817653e+02 1.26819206950120e-04 7.86975257445193e-17 1.79538768501504e-17 3.74185338841392e-17 8.29982169695568e-15 4.81483785541313e+07 3.84524836909410e+07 1.59844606287823e-07 1.89308291632597e+06 5.41711152543754e-29 2.23035310478982e-59 1.43567400571780e+20 2.17897413624298e+08 9.99902870159182e+05 4.03455678117190e+07 4.81483773499319e+07 8.81130305756699e-08 5.77512656415664e-07 
1.00217562127567e-12 4.91688984143089e+02 4.17400954215967e+02 2.07268637913609e-04 1.60173753426416e-16 3.65416805317787e-17 7.61582648300048e-17 1.69257552906513e-14 6.16758519139401e+07 4.92558571085766e+07 2.61244132037141e-07 2.42495187416531e+06 1.38143858257784e-28 8.89479914081910e-59 1.43567400571693e+20 2.79116533490569e+08 1.28082941360032e+06 5.16808109512538e+07 6.16758499458410e+07 1.44008684513397e-07 9.43865399549429e-07 
1.75022047988945e-12 4.91688970814318e+02 4.17400951614280e+02 6.29569920948262e-04 8.75461385895969e-16 1.99725795455198e-16 4.16258081759659e-16 9.27486743044504e-14 1.07712001101137e+08 8.60214572945834e+07 7.93518236080266e-07 4.23498670472541e+06 1.42718483341249e-27 3.32112861394839e-57 1.43567400571399e+20 4.87454954665096e+08 2.23686711341115e+06 9.02564499785822e+07 1.07711995123118e+08 4.37420362366705e-07 2.86695211679831e-06 
2.49826533850324e-12 4.91688957485549e+02 4.17400942760326e+02 1.28141231733951e-03 2.48245171775678e-15 5.66340963078002e-16 1.18033827465088e-15 2.63169641946902e-13 1.53748152417892e+08 1.22787055376085e+08 1.61510896272945e-06 6.04502153442268e+06 5.53860305341768e-27 2.36466175983248e-56 1.43567400571106e+20 6.95793374850551e+08 3.19290465758260e+06 1.28832089080585e+08 1.53748140250367e+08 8.90315353543326e-07 5.83532917833535e-06 
3.24631019711702e-12 4.91688944156780e+02 4.17400933906373e+02 2.16280307594125e-03 5.34643788986725e-15 1.21972434126280e-15 2.54208578584775e-15 5.66941443847490e-13 1.99784305864271e+08 1.59552651353016e+08 2.72602543212952e-06 7.85505636325709e+06 1.50905016294221e-26 1.02754922385731e-55 1.43567400570812e+20 9.04131794046901e+08 4.14894204610979e+06 1.67407728257264e+08 1.99784285327587e+08 1.50269863365426e-06 9.84902957242123e-06 
3.99435505573081e-12 4.91688930828013e+02 4.17400925052421e+02 3.27374141114173e-03 9.84487799512263e-15 2.24598837303411e-15 4.68097165585786e-15 1.04410730293523e-12 2.45820461440267e+08 1.96318245225383e+08 4.12626663713178e-06 9.66509119122863e+06 3.36566456869960e-26 3.35552580346140e-55 1.43567400570518e+20 1.11247021225415e+09 5.10497927899328e+06 2.05983367508620e+08 2.45820430354778e+08 2.27456959399733e-06 1.49080496990293e-05 
1.14748036418687e-11 4.91688797540401e+02 4.17400916198470e+02 2.70081387278135e-02 2.81000309590383e-13 6.41067806354370e-14 1.33607982609675e-13 2.98095178318586e-11 7.06182134328123e+08 5.63974068199069e+08 3.40414035193074e-05 2.77654394234873e+07 3.40152816263480e-24 3.81848205859262e-52 1.43567400567579e+20 3.19585433992655e+09 1.46653430475056e+07 5.91739764129345e+08 7.06181877875120e+08 1.87650075250028e-05 1.22990360237508e-04 
1.89552522280065e-11 4.91688664252903e+02 4.17400827659010e+02 7.36971439136894e-02 1.14591670834517e-12 2.61426870889603e-13 5.44852100289944e-13 1.21565078060150e-10 1.16654402017604e+09 9.31629680717997e+08 9.28888058363865e-05 4.58657875694606e+07 2.02786182013229e-23 5.26925196177185e-51 1.43567400564640e+20 5.27923836868957e+09 2.42256912517848e+07 9.77496168217659e+08 1.16654332039260e+09 5.12040377377686e-05 3.35603936271713e-04 
2.64357008141444e-11 4.91688530965518e+02 4.17400739119642e+02 1.43340747268501e-01 2.96426506270208e-12 6.76260797030370e-13 1.40942698405056e-12 3.14467053176574e-10 1.62690611898371e+09 1.29928508278246e+09 1.80668445207779e-04 6.39661356291486e+07 6.95331109135893e-23 3.24515657091025e-50 1.43567400561701e+20 7.36262229854329e+09 3.37860238918670e+07 1.36325257977356e+09 1.62690475790722e+09 9.95915935905292e-05 6.52748712201157e-04 
3.39161494002822e-11 4.91688397678246e+02 4.17400650580365e+02 2.35938952192458e-01 6.11275578955371e-12 1.39455043700950e-12 2.90644802134403e-12 6.48479330728005e-10 2.08726843075097e+09 1.66694027439263e+09 2.97380308999604e-04 8.20664836025514e+07 1.79377567315197e-22 1.31677236482107e-49 1.43567400558762e+20 9.44600612948773e+09 4.33463409677808e+07 1.74900899879704e+09 2.08726619041898e+09 1.63927614705976e-04 1.07442468106758e-03 
1.08720635261661e-10 4.91687064811748e+02 4.17400562041180e+02 2.42442627449155e+00 2.47057506898363e-10 5.63631522059296e-11 1.17468899649011e-10 2.62093968985475e-08 6.69090326114434e+09 5.34348061556489e+09 3.05576792440751e-03 2.63069958590891e+08 2.87599348427822e-20 2.91457973795977e-46 1.43567400529371e+20 3.02798389989300e+10 1.38948655707351e+08 5.60657359974886e+09 6.69088024037940e+09 1.68443223460727e-03 1.10404018193618e-02 
1.83525121123039e-10 4.91685731956564e+02 4.17399676654376e+02 6.90838057651395e+00 1.05137235175775e-09 2.39857778905910e-10 4.99897658625189e-10 1.11535904680836e-07 1.12945593873175e+10 9.01999991148689e+09 8.70736725244677e-03 4.44073424950707e+08 1.80905321225877e-19 4.43280988143478e-45 1.43567400499980e+20 5.11136619774696e+10 2.34549414060748e+08 9.46413894745887e+09 1.12944937900540e+10 4.79971644942413e-03 3.14595036834205e-02 
2.58329606984418e-10 4.91684399112693e+02 4.17398791276745e+02 1.36878075036607e+01 2.77873411465592e-09 6.33934352485950e-10 1.32120813504437e-09 2.94784209152564e-07 1.58982368091209e+10 1.26964981623083e+10 1.72521692541292e-02 6.25076882681998e+08 6.38133068019090e-19 2.85525673012403e-44 1.43567400470590e+20 7.19474750651269e+10 3.30148616053639e+08 1.33217050419270e+10 1.58981068394429e+10 9.50972428277854e-03 6.23317345543836e-02 
