p(Torr) I(mA) Twall Flow(sccm) fracCO2 fracO2 lossFreq(s-1) E/N(Td) Te(eV) n_e(m-3) GasTemp(K) NearWallTemp(K) [O2(X)](m^-3) [O2(a1Dg)](m^-3) [O2(b1Sg+)](m^-3) [O2(+,X)](m^-3) [O(3P)](m^-3) [O(1D)](m^-3) [O(+,gnd)](m^-3) [O(-,gnd)](m^-3) [O3(X)](m^-3) [O3(exc)](m^-3) [CO2(X)](m^-3) [CO2(+,X)](m^-3) [CO(X)](m^-3) [CO(a3P)](m^-3) [CO(+,X)](m^-3) [C(X)](m^-3) 
1 20 298.15 7.7942 0.75 0.25 9.50054750852 75.51463887156611 1.98566172174484 3416952385905265 356.456154282939 304.659608360046 5.94420622156665e+21 3.19544090426028e+20 1.30282213179139e+18 3560707878126980 3.6640059124734e+21 1.95084526026789e+16 1925268504574.39 183106955893172 5.16513645407174e+17 3350089650359040 1.24040385726666e+22 34367534287634 4.75579368757084e+21 8957101616165640 620953082457.923 664993615435001 
1.5 20 298.15 7.7942 0.75 0.25 9.904317482650001 69.4366087114927 1.82237819592885 3605847864977598 372.988366239518 306.733544268178 9.22923718857244e+21 4.79414256722965e+20 1.25061322344716e+18 3764357320553250 4.18479643278675e+21 1.46446319547979e+16 736237153179.1281 179008874367873 7.55647898652702e+17 6518717124543180 1.79565640546843e+22 17673197430842.7 6.98151164868666e+21 7697657604075760 269075819579.567 416313602700785 
2 20 298.15 7.7942 0.75 0.25 10.1548285148 65.718749433459 1.71870224646241 3729543166724308 387.036359058437 308.591128370232 1.24259202539495e+22 6.23852204017051e+20 1.18498372694357e+18 3890256329966360 4.49345161758528e+21 1.17179817201075e+16 366130732091.477 174418761862397 9.18536034327673e+17 9793970015341550 2.33251780332954e+22 11080711814744.4 9.02882417366359e+21 6819434123993290 147012128506.748 304727271112861 
3 20 298.15 7.7942 0.75 0.25 12.4839327958 61.3540032598422 1.59156077747517 3883805977477635 410.901542097174 311.919117246106 1.88343531770869e+22 8.828915494676641e+20 1.05236462632172e+18 4047765150907970 4.2579937485722e+21 7853363942043060 122547261382.5 171408520409792 1.04590397116979e+18 1.53884225562387e+16 3.38436043935606e+22 6140256720577.33 1.26812248726118e+22 5803476888995000 61422329544.4835 200683611306377 
5 20 298.15 7.7942 0.75 0.25 15.7520257441 56.5115563574911 1.4504499284696 4029049433819812 447.648392911716 317.5653926565 3.02772544036978e+22 1.27157111864047e+21 8.48389733359609e+17 4186517652036480 3.7975332826103e+21 4595301259785840 29485775174.9906 160906112095478 1.08226128916929e+18 2.22534660063658e+16 5.39497883698523e+22 2841538501749.75 1.85602047446921e+22 4383850406852570 19882119845.1918 119084330940104 
1 40 298.15 7.7942 0.75 0.25 16.2153189142 77.6241142195226 1.96090258970531 6770729236008725 396.431640955763 310.190901615986 5.24746637692398e+21 3.61165120327291e+20 3.66933847528285e+18 6984393304309950 4.15954611087457e+21 5.41182506171899e+16 6505129761566.96 287405093079428 2.32232116939219e+17 1808835172371540 8.924939453542599e+21 64173731233940.7 5.66095084619283e+21 2.10445470983395e+16 2572450899171.01 2044549992204010 
1.5 40 298.15 7.7942 0.75 0.25 17.3405194991 71.7647259246786 1.79656590466494 7177324715202968 421.56224687526 313.854169228543 8.12849441550647e+21 5.40358988709812e+20 3.53001882685458e+18 7430038418221400 4.72840275004395e+21 4.11004417725818e+16 2588177677261.76 291006995731209 3.09449436064718e+17 3306541846886550 1.28557443052969e+22 34753867610543 8.10218035501186e+21 1.83238161510886e+16 1142369270623.91 1284322409320770 
2 40 298.15 7.7942 0.75 0.25 19.0943665586 68.2572875986573 1.69366862579066 7440627048593369 442.650030377048 317.112677536249 1.10061345121543e+22 7.057559918396091e+20 3.31128086298138e+18 7710882849984410 4.88715626174186e+21 3.23946720143454e+16 1287035397010.71 294366460041376 3.48361961216457e+17 4740582631962750 1.67260634949543e+22 23160354707114.8 1.03007568187404e+22 1.66187678275287e+16 630820976405.092 940826264769177 
3 40 298.15 7.7942 0.75 0.25 20.7413909109 63.7199338143579 1.56505415649536 7788188554749499 476.811720720126 322.815552035374 1.62924558461798e+22 9.86457392571441e+20 2.91294506515841e+18 8065150287832520 5.152494144529959e+21 2.31445519295998e+16 485895213558.927 290120216413576 3.82344307319353e+17 7150817276306310 2.41502300565643e+22 12860465489765.7 1.41703056754828e+22 1.40296871494797e+16 271793302924.217 627865868346098 
5 40 298.15 7.7942 0.75 0.25 25.3983916726 58.873568570919 1.42589812450832 8091362539973589 528.6159178841961 332.353289631193 2.601233787352e+22 1.42985405473474e+21 2.27013260128204e+18 8364550360322070 4.80810476765425e+21 1.37393318916149e+16 127002204693.504 281989214114519 3.72583159536332e+17 1.00529933993654e+16 3.87755132167025e+22 6371310387903.97 2.03087077273362e+22 1.09077391058595e+16 89390967834.2894 377893785901246 
7.5 40 298.15 7.7942 0.75 0.25 31.4030122726 55.4269613325159 1.34448910659536 8315781997208611 577.657323226906 342.389948422213 3.66395054646158e+22 1.86925107151169e+21 1.83217159507427e+18 8587992952493860 4.27844227378452e+21 9026297790219850 42543389921.1985 277914913015124 3.36857269727374e+17 1.14488537810579e+16 5.6342056650024e+22 3708616165233.5 2.62435827981215e+22 8780523362945130 37237789477.4383 257830991472289 
