Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
1.25000000000000e-02 1.56940646046459e-01 -9.04378224916179e-04 
3.75000000000000e-02 1.56955169264975e-01 -2.77295146234073e-04 
6.25000000000000e-02 1.56966882376270e-01 2.07206353876179e-04 
8.75000000000000e-02 1.56975239950922e-01 5.61466037194128e-04 
1.12500000000000e-01 1.56979736727899e-01 8.85545717314174e-04 
1.37500000000000e-01 1.56980064281780e-01 1.35430723397124e-03 
1.62500000000000e-01 1.56972088455759e-01 1.92791796232902e-03 
1.87500000000000e-01 1.56955432165415e-01 2.41819965517064e-03 
2.12500000000000e-01 1.56930362570871e-01 2.84792748786190e-03 
2.37500000000000e-01 1.56896992595410e-01 3.18166262854217e-03 
2.62500000000000e-01 1.56857280455863e-01 4.23139192804665e-03 
2.87500000000000e-01 1.56785389396473e-01 5.97153458503415e-03 
3.12500000000000e-01 1.56680702538647e-01 6.95574555346612e-03 
3.37500000000000e-01 1.56561690369695e-01 7.28687196335745e-03 
3.62500000000000e-01 1.56436210676704e-01 7.58497406636964e-03 
3.87500000000000e-01 1.56301551548225e-01 8.53242100412248e-03 
4.12500000000000e-01 1.56130107463764e-01 1.04657982242865e-02 
4.37500000000000e-01 1.55909597632865e-01 1.15106268824254e-02 
4.62500000000000e-01 1.55639705921615e-01 1.11357453617355e-02 
4.87500000000000e-01 1.55425763044423e-01 1.09011840974870e-02 
5.12500000000000e-01 1.55200675484361e-01 1.15776091171955e-02 
5.37500000000000e-01 1.54950514435398e-01 1.26904313377559e-02 
5.62500000000000e-01 1.54672550735016e-01 1.29389826238273e-02 
5.87500000000000e-01 1.54348684459052e-01 1.23571972733310e-02 
6.12500000000000e-01 1.54093933537633e-01 1.26050214911825e-02 
6.37500000000000e-01 1.53819830645254e-01 1.39197356348769e-02 
6.62500000000000e-01 1.53525167280899e-01 1.48708836036800e-02 
6.87500000000000e-01 1.53229469493598e-01 1.49475258579110e-02 
7.12500000000000e-01 1.52904357347202e-01 1.46459309835140e-02 
7.37500000000000e-01 1.52632257244910e-01 1.47551237448894e-02 
7.62500000000000e-01 1.52350864274291e-01 1.53467236175277e-02 
7.87500000000000e-01 1.52058505240750e-01 1.53762866329163e-02 
8.12500000000000e-01 1.51708137700187e-01 1.48656795006164e-02 
8.37500000000000e-01 1.51416223284054e-01 1.48487599241087e-02 
8.62500000000000e-01 1.51088890914643e-01 1.54392804263678e-02 
8.87500000000000e-01 1.50723665888863e-01 1.59782913091225e-02 
9.12500000000000e-01 1.50321909281654e-01 1.63361712448905e-02 
9.37500000000000e-01 1.49894402986109e-01 1.65768456792569e-02 
9.62500000000000e-01 1.49467330006561e-01 1.69450513894377e-02 
9.87500000000000e-01 1.49020803761919e-01 1.74267264713554e-02 
1.01250000000000e+00 1.48554844478849e-01 1.77574494506100e-02 
1.03750000000000e+00 1.48062130014222e-01 1.79370045654998e-02 
1.06250000000000e+00 1.47574812107027e-01 1.82279095844639e-02 
1.08750000000000e+00 1.47070593863038e-01 1.86190567260699e-02 
1.11250000000000e+00 1.46549653667447e-01 1.89793297511298e-02 
1.13750000000000e+00 1.46013065219730e-01 1.92612728344638e-02 
1.16250000000000e+00 1.45454783232530e-01 1.94909615698687e-02 
1.18750000000000e+00 1.44892432859658e-01 1.97767355070121e-02 
1.21250000000000e+00 1.44314026840346e-01 2.00936766296159e-02 
1.23750000000000e+00 1.43725971687467e-01 2.03710477242177e-02 
1.26250000000000e+00 1.43125478391971e-01 2.06193461093366e-02 
1.28750000000000e+00 1.42521314010773e-01 2.08871451008194e-02 
1.31250000000000e+00 1.41907975569454e-01 2.11664117450963e-02 
1.33750000000000e+00 1.41288759431800e-01 2.14199615625812e-02 
1.36250000000000e+00 1.40661250478399e-01 2.16517950869700e-02 
1.38750000000000e+00 1.40032832035445e-01 2.19000128534962e-02 
1.41250000000000e+00 1.39398961461421e-01 2.21606790374207e-02 
1.43750000000000e+00 1.38759919820667e-01 2.24064259654403e-02 
1.46250000000000e+00 1.38114817106805e-01 2.26360893739223e-02 
1.48750000000000e+00 1.37467173187330e-01 2.28654059232870e-02 
1.51250000000000e+00 1.36815229692751e-01 2.30942300740757e-02 
1.53750000000000e+00 1.36159231732991e-01 2.33132792406571e-02 
1.56250000000000e+00 1.35498853102195e-01 2.35227025568252e-02 
1.58750000000000e+00 1.34835782323372e-01 2.37290701488437e-02 
1.61250000000000e+00 1.34169332831467e-01 2.39323804256592e-02 
1.63750000000000e+00 1.33499730187415e-01 2.41285551848882e-02 
1.66250000000000e+00 1.32826948065787e-01 2.43176784387823e-02 
1.68750000000000e+00 1.32151766767737e-01 2.45024216399103e-02 
1.71250000000000e+00 1.31474024357774e-01 2.46827190689849e-02 
1.73750000000000e+00 1.30794555783194e-01 2.48574620200099e-02 
1.76250000000000e+00 1.30113563142465e-01 2.50267179945523e-02 
1.78750000000000e+00 1.29431240374839e-01 2.51906636092891e-02 
1.81250000000000e+00 1.28747775163774e-01 2.53493151126885e-02 
1.83750000000000e+00 1.28063360110620e-01 2.55024949539518e-02 
1.86250000000000e+00 1.27378187332620e-01 2.56500954933154e-02 
1.88750000000000e+00 1.26692447193187e-01 2.57922077303180e-02 
