Species               Population
--------------------------------------------------------------------------------------------------
O2[80.416512%]
 O2(X)                9.19190853734191e-01
 | O2(X,v=0)          | 1.00000000000000e+00
 | O2(X,v=1)          | 0.00000000000000e+00
 | O2(X,v=2)          | 0.00000000000000e+00
 | O2(X,v=3)          | 0.00000000000000e+00
 | O2(X,v=4)          | 0.00000000000000e+00
 O2(a1Dg)             8.02968457738390e-02
 O2(b1Sg+)            4.84339833275453e-04
 O2(A3Su+_C3Du_c1Su-) 2.79606586944613e-05
 O2(9.97eV)           0.00000000000000e+00
 O2(14.7eV)           0.00000000000000e+00
 O2(+,X)              0.00000000000000e+00
O[19.583488%]
 O(3P)                9.99799347560009e-01
 O(1D)                2.00652439991358e-04
 O(1S)                0.00000000000000e+00
 O(4S0)               0.00000000000000e+00
 O(2D0)               0.00000000000000e+00
 O(2P0)               0.00000000000000e+00
 O(3P0)               0.00000000000000e+00
 O(-,gnd)             0.00000000000000e+00
 O(+,gnd)             0.00000000000000e+00
CO2[0.000000%]
 CO2(X)               1.00000000000000e+00
 | CO2(X,v=00001)     | 9.19698215000000e-01
 | CO2(X,v=01101)     | 7.41884390000000e-02
 | CO2(X,v=02201)     | 2.87871000000000e-03
 | CO2(X,v=10002)     | 2.87871000000000e-03
 | CO2(X,v=03301)     | 1.07463000000000e-04
 | CO2(X,v=11102)     | 2.14927000000000e-04
 | CO2(X,v=00011)     | 1.18866000000000e-05
 | CO2(X,v=04401)     | 3.71299000000000e-06
 | CO2(X,v=12202)     | 7.42598000000000e-06
 | CO2(X,v=20003)     | 5.56949000000000e-06
 | CO2(X,v=01111)     | 3.71299000000000e-06
 | CO2(X,v=05501)     | 1.49756000000000e-07
 | CO2(X,v=13302)     | 2.99512000000000e-07
 | CO2(X,v=21103)     | 4.49269000000000e-07
 | CO2(X,v=02211)     | 1.49756000000000e-07
 | CO2(X,v=10012)     | 1.49756000000000e-07
 | CO2(X,v=30004)     | 0.00000000000000e+00
 | CO2(X,v=06601)     | 0.00000000000000e+00
 | CO2(X,v=14402)     | 1.20802000000000e-08
 | CO2(X,v=22203)     | 1.78208001000000e-08
 | CO2(X,v=0n0+n00)   | 0.00000000000000e+00
 CO2(e1)              0.00000000000000e+00
 CO2(+,X)             0.00000000000000e+00
CO[0.000000%]
 CO(X)                1.00000000000000e+00
 | CO(X,v=0)          | 9.99926538988919e-01
 | | CO(X,v=0,J=0)    | | 9.11679273319737e-03
 | | CO(X,v=0,J=1)    | | 2.68851879598577e-02
 | | CO(X,v=0,J=2)    | | 4.32973492295256e-02
 | | CO(X,v=0,J=3)    | | 5.75756125477790e-02
 | | CO(X,v=0,J=4)    | | 6.91165417974489e-02
 | | CO(X,v=0,J=5)    | | 7.75319810338438e-02
 | | CO(X,v=0,J=6)    | | 8.26665843626457e-02
 | | CO(X,v=0,J=7)    | | 8.45913755518067e-02
 | | CO(X,v=0,J=8)    | | 8.35760183567857e-02
 | | CO(X,v=0,J=9)    | | 8.00449661391030e-02
 | | CO(X,v=0,J=10)   | | 7.45241666883892e-02
 | | CO(X,v=0,J=11)   | | 6.75853893929362e-02
 | | CO(X,v=0,J=12)   | | 5.97945889063482e-02
 | | CO(X,v=0,J=13)   | | 5.16692636417533e-02
 | | CO(X,v=0,J=14)   | | 4.36478523347970e-02
 | | CO(X,v=0,J=15)   | | 3.60722049329079e-02
 | | CO(X,v=0,J=16)   | | 2.91823855475301e-02
 | | CO(X,v=0,J=17)   | | 2.31217388433444e-02
 | CO(X,v=1)          | 7.34549383669481e-05
 | CO(X,v=2)          | 6.07214957936922e-09
 | CO(X,v=3)          | 5.64849154426896e-13
 | CO(X,v=4)          | 5.91277106076230e-17
 | CO(X,v=5)          | 6.96495321395073e-21
 | CO(X,v=6)          | 9.23238490595265e-25
 | CO(X,v=7)          | 1.37714021347386e-28
 | CO(X,v=8)          | 2.31159090536779e-32
 | CO(X,v=9)          | 4.36628774643248e-36
 | CO(X,v=10)         | 9.28073320657332e-40
 CO(a3P)              0.00000000000000e+00
 CO(a'3Su+)           0.00000000000000e+00
 CO(A1P)              0.00000000000000e+00
 CO(b3Su+)            0.00000000000000e+00
 CO(B1Su+)            0.00000000000000e+00
 CO(C1Su+)            0.00000000000000e+00
 CO(E1P)              0.00000000000000e+00
 CO(+,X)              0.00000000000000e+00
C[0.000000%]
 C(X)                 0.00000000000000e+00
O3[0.000000%]
 O3(X)                0.00000000000000e+00
