Time(s)              GasTemp(K)           NearWallTemp(K)      [O2(X)](m^-3)        [O2(a1Dg)](m^-3)     [O2(b1Sg+)](m^-3)    [O2(A3Su+_C3Du_c1Su-)](m^-3) [O2(+,X)](m^-3)      [O(3P)](m^-3)        [O(1D)](m^-3)        [O(+,gnd)](m^-3)     [O(-,gnd)](m^-3)     [O3(X)](m^-3)        [O3(exc)](m^-3)      [CO2(X)](m^-3)       [CO2(e1)](m^-3)      [CO2(+,X)](m^-3)     [CO(X)](m^-3)        [CO(a3P)](m^-3)      [CO(+,X)](m^-3)      [C(X)](m^-3)        
0.00000000000000e+00 3.51791824400000e+02 3.22288820980000e+02 2.18581598491324e+20 2.18581598491324e-05 2.18581598491324e-05 2.18581598491324e-05 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.76861986238391e-14 3.51791824303889e+02 3.27489017494646e+02 2.18581598491306e+20 6.42087587435746e+06 1.51080925257953e+06 2.76948634476102e+06 4.23727471497465e+03 1.08570017843697e+07 3.08904150463813e+06 1.22584507221944e+00 3.31101723291896e+05 1.08016877637145e-06 2.18572548532808e-12 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
3.53723972476783e-14 3.51791824207778e+02 3.27489017438895e+02 2.18581598491289e+20 1.28417517487039e+07 3.02161850541098e+06 5.53897268777515e+06 8.47454942994619e+03 2.17140035719920e+07 6.17808300602099e+06 2.45169014443603e+00 6.62203446582320e+05 3.40914027310872e-06 6.89840786369642e-12 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
5.30585958715174e-14 3.51791824111667e+02 3.27489017383143e+02 2.18581598491271e+20 1.92626276230615e+07 4.53242775852196e+06 8.30845902902790e+06 1.27118241449146e+04 3.25710053629356e+07 9.26712450407997e+06 3.67753521664970e+00 9.93305169871241e+05 7.01324130847634e-06 1.41913195518092e-11 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.30224258046608e-13 3.51791823692331e+02 3.27489017327392e+02 2.18581598491193e+20 4.72771913588300e+07 1.11241549561010e+07 2.03918496780190e+07 3.11992400194015e+04 7.99405815445817e+07 2.27447483344992e+07 9.02595116134993e+00 2.43791654555570e+06 3.66607335379515e-05 7.41831291562059e-11 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.07389920221699e-13 3.51791823272994e+02 3.27489017084146e+02 2.18581598491115e+20 7.52917550948058e+07 1.77158821589044e+07 3.24752402940910e+07 4.96866558938293e+04 1.27310157788300e+08 3.62223721027973e+07 1.43743671059957e+01 3.88252792121207e+06 9.01394839972726e-05 1.82397577738968e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.84555582396789e-13 3.51791822853658e+02 3.27489016840900e+02 2.18581598491037e+20 1.03306318830992e+08 2.43076093670147e+07 4.45586308767240e+07 6.81740717681971e+04 1.74679734095070e+08 4.96999958079931e+07 1.97227830505860e+01 5.32713929683990e+06 1.67825858991643e-04 3.39596244169322e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
3.61721244571880e-13 3.51791822434321e+02 3.27489016597654e+02 2.18581598490959e+20 1.31320882567390e+08 3.08993365804611e+07 5.66420214257345e+07 8.66614876425045e+04 2.22049310465239e+08 6.31776194497405e+07 2.50711989951208e+01 6.77175067243904e+06 2.69852685661514e-04 5.46047904933163e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
5.90736449374133e-13 3.51791821189799e+02 3.27489016354408e+02 2.18581598490728e+20 2.14463576750142e+08 5.04625168560360e+07 9.25035700471044e+07 1.41529147860137e+05 3.62634552098173e+08 1.03177026215614e+08 4.09444324820658e+01 1.10591235881119e+07 7.16143090249026e-04 1.44911819397016e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
8.19751654176387e-13 3.51791819945276e+02 3.27489015632493e+02 2.18581598490497e+20 2.97606270934760e+08 7.00256971786603e+07 1.28365118372015e+08 1.96396808077237e+05 5.03219794290108e+08 1.43176432422045e+08 5.68176659685201e+01 1.53464965035318e+07 1.37705017159431e-03 2.78646613515167e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
